tweet_id,retweet_count,favorite_count
892420643555336193,8203,37624
892177421306343426,6068,32334
891815181378084864,4011,24361
891689557279858688,8365,40949
891327558926688256,9057,39151
891087950875897856,3008,19690
890971913173991426,1988,11513
890729181411237888,18227,63489
890609185150312448,4128,27077
890240255349198849,7125,31025
890006608113172480,7084,29848
889880896479866881,4813,27055
889665388333682689,9701,46780
889638837579907072,4381,26374
889531135344209921,2176,14709
889278841981685760,5198,24563
888917238123831296,4352,28335
888804989199671297,4134,24853
888554962724278272,3420,19285
888078434458587136,3369,21175
887705289381826560,5200,29381
887517139158093824,11310,45032
887473957103951883,17551,67045
887343217045368832,10076,32760
887101392804085760,5759,29748
886983233522544640,7509,34165
886736880519319552,3155,11714
886680336477933568,4316,21842
886366144734445568,3096,20607
886267009285017600,4,116
886258384151887873,6095,27238
886054160059072513,105,0
885984800019947520,6552,31716
885528943205470208,6215,35000
885518971528720385,3625,19887
885311592912609280,17934,0
885167619883638784,4240,21312
884925521741709313,17640,75218
884876753390489601,5436,27131
884562892145688576,4532,23619
884441805382717440,5484,26269
884247878851493888,19848,70924
884162670584377345,2884,19806
883838122936631299,3333,21297
883482846933004288,9612,44650
883360690899218434,3589,22064
883117836046086144,6448,36153
882992080364220416,3800,23286
882762694511734784,4738,27528
882627270321602560,5899,27177
882268110199369728,11227,43715
882045870035918850,4798,28554
881906580714921986,3288,23658
881666595344535552,10344,49227
881633300179243008,7,124
881536004380872706,15465,48094
881268444196462592,5026,22499
880935762899988482,2701,16594
880872448815771648,3710,20693
880465832366813184,6083,27767
880221127280381952,4087,26297
880095782870896641,4205,26886
879862464715927552,3387,21750
879674319642796034,10,302
879492040517615616,3081,22813
879415818425184262,42955,103001
879376492567855104,3018,16369
879130579576475649,6601,0
879050749262655488,4558,21942
879008229531029506,2613,18487
878776093423087618,4003,18903
878604707211726852,6978,29414
878404777348136964,1248,0
878316110768087041,6445,0
878281511006478336,1248,7535
878057613040115712,6601,40951
877736472329191424,18515,77622
877611172832227328,78,0
877556246731214848,3693,22144
877316821321428993,5041,26694
877201837425926144,5424,26431
876838120628539392,3245,20160
876537666061221889,4508,22945
876484053909872640,2324,18285
876120275196170240,4550,27236
875747767867523072,4168,24563
875144289856114688,4804,21386
875097192612077568,5894,26724
875021211251597312,4599,24858
874680097055178752,4524,27152
874434818259525634,14317,0
874296783580663808,4004,25433
874057562936811520,3851,22157
874012996292530176,10145,33695
873580283840344065,3841,23642
873337748698140672,1547,0
873213775632977920,1547,7058
872967104147763200,5283,26693
872820683541237760,3616,14399
872620804844003328,3609,20316
872486979161796608,8824,39785
872122724285648897,7957,33633
871879754684805121,10917,37090
871762521631449091,3413,19850
871515927908634625,3389,19779
871166179821445120,5587,0
871102520638267392,5410,20522
871032628920680449,3748,22227
870804317367881728,6086,32966
870726314365509632,3,117
870656317836468226,2597,12165
870374049280663552,25801,81196
870308999962521604,4085,21447
870063196459192321,8209,35947
869772420881756160,9884,41694
869702957897576449,6252,27750
869596645499047938,3092,15718
869227993411051520,3745,20131
868880397819494401,14289,64509
868639477480148993,2062,0
868622495443632128,5234,26314
868552278524837888,2062,9974
867900495410671616,4131,23837
867774946302451713,7269,33491
867421006826221569,2474,15902
867072653475098625,119,0
867051520902168576,7788,31831
866720684873056260,4767,19811
866686824827068416,3449,19038
866450705531457537,35029,120733
866334964761202691,14317,51894
866094527597207552,8305,0
865718153858494464,5585,25356
865359393868664832,4975,26165
865006731092295680,7645,27708
864873206498414592,8671,31947
864279568663928832,3010,14474
864197398364647424,8891,29839
863907417377173506,4123,20439
863553081350529029,4168,15178
863471782782697472,2436,0
