tweet_id,retweet_count,favorite_count
892420643555336193,8309,37999
892177421306343426,6138,32630
891815181378084864,4064,24550
891689557279858688,8454,41348
891327558926688256,9152,39529
891087950875897856,3042,19862
890971913173991426,2018,11603
890729181411237888,18434,64115
890609185150312448,4181,27275
890240255349198849,7213,31294
890006608113172480,7168,30078
889880896479866881,4864,27278
889665388333682689,9817,47188
889638837579907072,4429,26631
889531135344209921,2198,14822
889278841981685760,5251,24760
888917238123831296,4401,28562
888804989199671297,4193,25074
888554962724278272,3470,19443
888078434458587136,3415,21336
887705289381826560,5274,29598
887517139158093824,11416,45397
887473957103951883,17765,67711
887343217045368832,10170,33038
887101392804085760,5831,29991
886983233522544640,7599,34473
886736880519319552,3210,11832
886680336477933568,4363,21997
886366144734445568,3130,20788
886267009285017600,4,116
886258384151887873,6145,27467
886054160059072513,105,0
885984800019947520,6631,32019
885528943205470208,6284,35306
885518971528720385,3676,20045
885311592912609280,18147,0
885167619883638784,4290,21506
884925521741709313,17850,75967
884876753390489601,5486,27395
884562892145688576,4589,23834
884441805382717440,5531,26477
884247878851493888,20060,71616
884162670584377345,2922,19953
883838122936631299,3375,21486
883482846933004288,9719,45054
883360690899218434,3623,22258
883117836046086144,6524,36453
882992080364220416,3837,23497
882762694511734784,4812,27759
882627270321602560,5950,27408
882268110199369728,11353,44092
882045870035918850,4862,28805
881906580714921986,3321,23851
881666595344535552,10445,49629
881633300179243008,7,124
881536004380872706,15611,48502
881268444196462592,5070,22652
880935762899988482,2729,16694
880872448815771648,3740,20869
880465832366813184,6146,27997
880221127280381952,4126,26541
880095782870896641,4262,27110
879862464715927552,3429,21914
879674319642796034,10,305
879492040517615616,3115,22991
879415818425184262,43391,103926
879376492567855104,3054,16475
879130579576475649,6694,0
879050749262655488,4628,22138
879008229531029506,2644,18631
878776093423087618,4049,19053
878604707211726852,7067,29705
878404777348136964,1267,0
878316110768087041,6525,0
878281511006478336,1267,7599
878057613040115712,6694,41273
877736472329191424,18728,78312
877611172832227328,79,0
877556246731214848,3739,22321
877316821321428993,5090,26910
877201837425926144,5482,26649
876838120628539392,3279,20325
876537666061221889,4560,23107
876484053909872640,2358,18439
876120275196170240,4606,27433
875747767867523072,4221,24765
875144289856114688,4848,21563
875097192612077568,5958,26962
875021211251597312,4644,25048
874680097055178752,4566,27356
874434818259525634,14494,0
874296783580663808,4041,25627
874057562936811520,3902,22298
874012996292530176,10253,34017
873580283840344065,3887,23831
873337748698140672,1564,0
873213775632977920,1564,7128
872967104147763200,5346,26943
872820683541237760,3648,14499
872620804844003328,3648,20502
872486979161796608,8927,40094
872261713294495745,6250,33732
872122724285648897,8040,33956
871879754684805121,11046,37443
871762521631449091,3447,20008
871515927908634625,3426,19954
871166179821445120,5660,0
871102520638267392,5464,20675
871032628920680449,3786,22409
870804317367881728,6161,33240
870726314365509632,3,119
870656317836468226,2627,12275
870374049280663552,26065,81845
870308999962521604,4135,21613
870063196459192321,8313,36310
869772420881756160,9988,42010
869702957897576449,6326,27974
869596645499047938,3126,15831
869227993411051520,3774,20286
868880397819494401,14450,65123
868639477480148993,2097,0
868622495443632128,5290,26550
868552278524837888,2097,10060
867900495410671616,4178,24046
867774946302451713,7342,33788
867421006826221569,2508,16027
867072653475098625,121,0
867051520902168576,7882,32091
866720684873056260,4822,19994
866686824827068416,3490,19254
866450705531457537,35398,121806
866334964761202691,14494,52392
866094527597207552,8405,0
865718153858494464,5646,25570
865359393868664832,5030,26416
865006731092295680,7729,27951
864873206498414592,8750,32252
864279568663928832,3055,14619
864197398364647424,9005,30146
863907417377173506,4177,20620
863553081350529029,4216,15309
863471782782697472,2474,0
863432100342583297,5310,23844
863427515083354112,97,2270
863079547188785154,1114,8780
863062471531167744,2474,8539
862831371563274240,5145,19198
862722525377298433,3563,17092
862457590147678208,5011,20585
862096992088072192,23564,74740
861383897657036800,10845,36210
861288531465048066,4208,17264
861005113778896900,3842,16782
860981674716409858,2187,0
860924035999428608,835,0
860563773140209665,2187,7546
860524505164394496,5361,23752
860276583193509888,3525,18394
860184849394610176,5938,16774
860177593139703809,31373,0
859924526012018688,4156,19674
859851578198683649,3568,15504
859607811541651456,1603,18714
859196978902773760,30747,90607
859074603037188101,13870,34118
858860390427611136,8315,0
858843525470990336,3547,15656
858471635011153920,4945,21694
858107933456039936,2976,15868
857989990357356544,2641,16279
857746408056729600,10873,34626
857393404942143489,1687,5975
857263160327368704,4625,20227
857214891891077121,18,230
857062103051644929,177,0
857029823797047296,4111,19152
856602993587888130,10965,0
856543823941562368,2954,16459
856526610513747968,1934,11996
856330835276025856,699,0
856288084350160898,17,526
856282028240666624,6499,28110
855862651834028034,28,351
855860136149123072,1057,5106
855857698524602368,2175,12019
855851453814013952,18234,46106
855818117272018944,5595,27018
855459453768019968,8461,30403
855245323840757760,6177,0
855138241867124737,47,0
854732716440526848,6320,23239
854482394044301312,7102,29839
854365224396361728,4857,19261
854120357044912130,7750,32595
854010172552949760,3270,16523
853760880890318849,6007,29183
853639147608842240,10545,35601
853299958564483072,3717,15875
852936405516943360,2088,0
852912242202992640,1913,9272
852672615818899456,2250,15274
852553447878664193,3663,16762
852311364735569921,10305,33943
852226086759018497,7096,20510
852189679701164033,1659,11758
851953902622658560,10062,0
851861385021730816,23,0
851591660324737024,3626,16638
851464819735769094,7410,24923
851224888060895234,5979,21262
850753642995093505,9713,31891
850380195714523136,2741,13439
850333567704068097,350,3537
850145622816686080,4018,16819
850019790995546112,5138,21074
849776966551130114,7980,31405
849668094696017920,5208,0
849412302885593088,3302,16379
849336543269576704,1986,11780
849051919805034497,8956,43817
848690551926992896,4543,26022
848324959059550208,4835,25571
848213670039564288,785,8446
848212111729840128,3234,16872
847978865427394560,3434,0
847971574464610304,449,0
847962785489326080,5378,24319
847842811428974592,1417,5660
847617282490613760,447,7255
847606175596138505,3581,19434
847251039262605312,4533,21182
847157206088847362,6181,20657
847116187444137987,3375,22176
846874817362120707,4150,20795
846514051647705089,12261,46283
846505985330044928,3263,14625
846153765933735936,9592,32872
846139713627017216,10450,32045
846042936437604353,3065,16589
845812042753855489,9250,30408
845677943972139009,5062,26068
845397057150107648,1915,7925
845306882940190720,5708,24220
845098359547420673,8112,0
844979544864018432,2734,14146
844973813909606400,3409,15702
844704788403113984,10965,40260
844580511645339650,3332,17131
844223788422217728,2335,14181
843981021012017153,3107,15738
843856843873095681,4916,22281
843604394117681152,2929,17574
